     Hex :            Float16 Value
-------- : ------------------------
    4f1a :            28.4062500000
    d3c3 :           -62.0937500000
    e96b :         -2774.0000000000
    5019 :            32.7812500000
    c634 :            -6.2031250000
    cdf7 :           -23.8593750000
    d7af :          -122.9375000000
    d7c2 :          -124.1250000000
    cac7 :           -13.5546875000
    f635 :        -25424.0000000000
    7104 :         10272.0000000000
    d2ba :           -53.8125000000
    4b96 :            15.1718750000
    420e :             3.0273437500
    c179 :            -2.7363281250
    df4c :          -467.0000000000
    4078 :             2.2343750000
    5a62 :           204.2500000000
    e6ff :         -1791.0000000000
    c42b :            -4.1679687500
    c2f1 :            -3.4707031250
    a8a2 :            -0.0361938477
    3bd7 :             0.9799804688
    d9d4 :          -186.5000000000
    4449 :             4.2851562500
    64d9 :          1241.0000000000
    d4ed :           -78.8125000000
    5cd4 :           309.0000000000
    e2be :          -863.0000000000
    5d6e :           347.5000000000
    d5fd :           -95.8125000000
    dedf :          -439.7500000000
    c40c :            -4.0468750000
    5d28 :           330.0000000000
    69d5 :          2986.0000000000
    d00b :           -32.3437500000
    4967 :            10.8046875000
    43a4 :             3.8203125000
    c87f :            -8.9921875000
    c8e4 :            -9.7812500000
    c22e :            -3.0898437500
    de7c :          -415.0000000000
    4f92 :            30.2812500000
    c27a :            -3.2382812500
    3a50 :             0.7890625000
    48e8 :             9.8125000000
    4e24 :            24.5625000000
    5973 :           174.3750000000
    ccb6 :           -18.8437500000
    db23 :          -228.3750000000
    71b6 :         11696.0000000000
    459f :             5.6210937500
    4f2f :            28.7343750000
    c2fa :            -3.4882812500
    4827 :             8.3046875000
    59c1 :           184.1250000000
    4426 :             4.1484375000
    2b19 :             0.0554504395
    d58d :           -88.8125000000
    406d :             2.2128906250
    4681 :             6.5039062500
    5e85 :           417.2500000000
    51b9 :            45.7812500000
    e03f :          -543.5000000000
    4461 :             4.3789062500
    7b2d :         58784.0000000000
    5b54 :           234.5000000000
    4728 :             7.1562500000
    55b8 :            91.5000000000
    cb4a :           -14.5781250000
    49e1 :            11.7578125000
    51df :            46.9687500000
    4787 :             7.5273437500
    2b98 :             0.0593261719
    e4bb :         -1211.0000000000
    4cd6 :            19.3437500000
    d0f8 :           -39.7500000000
    486e :             8.8593750000
    44bf :             4.7460937500
    4d1b :            20.4218750000
    b6ec :            -0.4326171875
    e161 :          -688.5000000000
    e0c1 :          -608.5000000000
    c693 :            -6.5742187500
    cbe4 :           -15.7812500000
    49a2 :            11.2656250000
    c0ff :            -2.4980468750
    49d6 :            11.6718750000
    5177 :            43.7187500000
    c9fb :           -11.9609375000
    d4b2 :           -75.1250000000
    d266 :           -51.1875000000
    5b0c :           225.5000000000
    520d :            48.4062500000
    ce4c :           -25.1875000000
    57e8 :           126.5000000000
    4d9c :            22.4375000000
    7c00 :                      inf
    66a2 :          1698.0000000000
    cc08 :           -16.1250000000
    54df :            77.9375000000
    c969 :           -10.8203125000
    dc30 :          -268.0000000000
    d8be :          -151.7500000000
    241c :             0.0160522461
    6847 :          2190.0000000000
    4630 :             6.1875000000
    442a :             4.1640625000
    3d98 :             1.3984375000
    3e2c :             1.5429687500
    2c39 :             0.0659790039
    3763 :             0.4616699219
    3314 :             0.2211914062
    e83a :         -2164.0000000000
    d150 :           -42.5000000000
    484e :             8.6093750000
    d239 :           -49.7812500000
    4ce6 :            19.5937500000
    bf3e :            -1.8105468750
    5c4e :           275.5000000000
    400e :             2.0273437500
    d1d7 :           -46.7187500000
    59d3 :           186.3750000000
    5049 :            34.2812500000
    ccef :           -19.7343750000
    5a58 :           203.0000000000
    471a :             7.1015625000
    d24e :           -50.4375000000
    cc9c :           -18.4375000000
    5a2c :           197.5000000000
    d95c :          -171.5000000000
    c961 :           -10.7578125000
    4dae :            22.7187500000
    cb46 :           -14.5468750000
    c5c0 :            -5.7500000000
    3bad :             0.9594726562
    d0ec :           -39.3750000000
    5089 :            36.2812500000
    edbb :         -5868.0000000000
    5333 :            57.5937500000
    cdfd :           -23.9531250000
    c421 :            -4.1289062500
    c9eb :           -11.8359375000
    5b31 :           230.1250000000
    c491 :            -4.5664062500
    f3bd :        -15848.0000000000
    e2ba :          -861.0000000000
    4c09 :            16.1406250000
    cae4 :           -13.7812500000
    bfbf :            -1.9365234375
    3d49 :             1.3212890625
    5312 :            56.5625000000
    3cea :             1.2285156250
    4aac :            13.3437500000
    5c37 :           269.7500000000
    41b0 :             2.8437500000
    cfe2 :           -31.5312500000
    5d2b :           330.7500000000
    4aeb :            13.8359375000
    df1a :          -454.5000000000
    503c :            33.8750000000
    61aa :           725.0000000000
    f646 :        -25696.0000000000
    d29c :           -52.8750000000
    5995 :           178.6250000000
    5c1d :           263.2500000000
    4cee :            19.7187500000
    5cac :           299.0000000000
    cd40 :           -21.0000000000
    c6a0 :            -6.6250000000
    7a33 :         50784.0000000000
    50e0 :            39.0000000000
    546a :            70.6250000000
    42b8 :             3.3593750000
    5369 :            59.2812500000
    c855 :            -8.6640625000
    cc1c :           -16.4375000000
    5440 :            68.0000000000
    d839 :          -135.1250000000
    c487 :            -4.5273437500
    ba65 :            -0.7993164062
    5abf :           215.8750000000
    4e99 :            26.3906250000
    c664 :            -6.3906250000
    c161 :            -2.6894531250
    4720 :             7.1250000000
    f395 :        -15528.0000000000
    5a84 :           208.5000000000
    d309 :           -56.2812500000
    ce35 :           -24.8281250000
    bfaa :            -1.9160156250
    3e7f :             1.6240234375
    49e4 :            11.7812500000
    d6ea :          -110.6250000000
    6505 :          1285.0000000000
    d682 :          -104.1250000000
    5c4e :           275.5000000000
    d648 :          -100.5000000000
    d712 :          -113.1250000000
    54a3 :            74.1875000000
    323f :             0.1951904297
    e641 :         -1601.0000000000
    f5af :        -23280.0000000000
    5bb9 :           247.1250000000
    d59c :           -89.7500000000
    3da0 :             1.4062500000
    4a6e :            12.8593750000
    b913 :            -0.6342773438
    4521 :             5.1289062500
    75fd :         24528.0000000000
    fc00 :                     -inf
    68bc :          2424.0000000000
    5f65 :           473.2500000000
    672d :          1837.0000000000
    e8c8 :         -2448.0000000000
    da39 :          -199.1250000000
    e348 :          -932.0000000000
    70af :          9592.0000000000
    7c00 :                      inf
    e581 :         -1409.0000000000
    62fb :           893.5000000000
    d969 :          -173.1250000000
    d5dc :           -93.7500000000
    4624 :             6.1406250000
    4c81 :            18.0156250000
    d4fc :           -79.7500000000
    dec2 :          -432.5000000000
    c3a2 :            -3.8164062500
    95a6 :            -0.0013790131
    b696 :            -0.4116210938
    4450 :             4.3125000000
    bd89 :            -1.3837890625
    2ed0 :             0.1064453125
    d748 :          -116.5000000000
    e8b6 :         -2412.0000000000
    4f27 :            28.6093750000
    cd0c :           -20.1875000000
    45dd :             5.8632812500
    b881 :            -0.5629882812
    c00c :            -2.0234375000
    cb36 :           -14.4218750000
    fc00 :                     -inf
    70a4 :          9504.0000000000
    d0a9 :           -37.2812500000
    df9c :          -487.0000000000
    c1e0 :            -2.9375000000
    4591 :             5.5664062500
    d81f :          -131.8750000000
    5441 :            68.0625000000
    cfe0 :           -31.5000000000
    fc00 :                     -inf
    485c :             8.7187500000
    d807 :          -128.8750000000
    acc6 :            -0.0745849609
    d41c :           -65.7500000000
    bae3 :            -0.8608398438
